Species,Year,Season,Day,Habitat,AGE,BRE,PPM,MUS,BM,WC
Basileuterus_rufifrons ,2009,FALL,204,FOREST,3,NO,STATIC,2,10.3,53
Basileuterus_rufifrons ,2009,FALL,205,FOREST,4,NO,STATIC,3,10.7,59
Basileuterus_rufifrons ,2009,FALL,205,FOREST,4,NA,STATIC,2,10.9,54
Basileuterus_rufifrons ,2009,FALL,221,FOREST,3,NO,STATIC,2,10.4,57
Basileuterus_rufifrons ,2009,FALL,226,FOREST,3,NO,STATIC,2,10.1,53
Basileuterus_rufifrons ,2009,FALL,243,COFFEE,3,NA,STATIC,2,10.8,57
Basileuterus_rufifrons ,2009,FALL,243,COFFEE,3,NA,STATIC,2,9.8,53
Basileuterus_rufifrons ,2009,FALL,248,COFFEE,3,NO,STATIC,2,10.4,56
Basileuterus_rufifrons ,2010,SPRING,2,FOREST,3,NO,STATIC,2,10.3,53
Basileuterus_rufifrons ,2010,SPRING,3,COFFEE,4,NA,STATIC,NA,11.3,58
Basileuterus_rufifrons ,2010,SPRING,3,FOREST,0,NO,NA,2,10.1,54
Basileuterus_rufifrons ,2010,SPRING,4,FOREST,4,NA,STATIC,3,10.8,58
Basileuterus_rufifrons ,2010,SPRING,5,COFFEE,0,NO,NA,3,10.9,53
Basileuterus_rufifrons ,2010,SPRING,5,COFFEE,3,NO,STATIC,3,11.2,55
Basileuterus_rufifrons ,2010,SPRING,6,FOREST,3,NO,STATIC,3,NA,53
Basileuterus_rufifrons ,2010,SPRING,6,FOREST,4,YES,STATIC,3,NA,60
Basileuterus_rufifrons ,2010,SPRING,8,COFFEE,4,YES,STATIC,2,10.6,59
Basileuterus_rufifrons ,2010,SPRING,11,COFFEE,3,NO,STATIC,2,10.4,54
Basileuterus_rufifrons ,2010,SPRING,12,COFFEE,3,NO,STATIC,3,10.1,54
Basileuterus_rufifrons ,2010,SPRING,13,COFFEE,3,NO,STATIC,3,10.9,51
Basileuterus_rufifrons ,2010,SPRING,15,FOREST,3,NO,STATIC,2,NA,56
Basileuterus_rufifrons ,2010,SPRING,16,COFFEE,3,NO,STATIC,3,10.3,58
Basileuterus_rufifrons ,2010,SPRING,16,COFFEE,0,NO,NA,2,10.2,53
Basileuterus_rufifrons ,2010,SPRING,18,COFFEE,4,NO,STATIC,2,11.1,59
Basileuterus_rufifrons ,2010,SPRING,19,COFFEE,4,NO,STATIC,2,9.8,53
Basileuterus_rufifrons ,2010,SPRING,19,COFFEE,4,YES,STATIC,2,10.7,56
Basileuterus_rufifrons ,2010,SPRING,23,COFFEE,4,NO,STATIC,2,10.3,52
Basileuterus_rufifrons ,2010,SPRING,24,COFFEE,3,NO,STATIC,2,10.6,56
Basileuterus_rufifrons ,2010,SPRING,24,COFFEE,4,NO,STATIC,2,11.3,54
Basileuterus_rufifrons ,2010,SPRING,25,COFFEE,4,YES,STATIC,2,11,57
Basileuterus_rufifrons ,2010,SPRING,25,COFFEE,4,NO,STATIC,2,10.2,55
Basileuterus_rufifrons ,2010,SPRING,29,COFFEE,3,NO,STATIC,2,9.7,52
Basileuterus_rufifrons ,2010,SPRING,29,COFFEE,3,YES,STATIC,3,10.4,57
Basileuterus_rufifrons ,2010,SPRING,30,COFFEE,3,NO,STATIC,2,10.8,54
Basileuterus_rufifrons ,2010,SPRING,31,COFFEE,4,YES,STATIC,3,11.9,57
Basileuterus_rufifrons ,2010,SPRING,31,FOREST,4,YES,STATIC,3,10.8,58
Basileuterus_rufifrons ,2010,SPRING,32,COFFEE,4,NO,STATIC,2,10.7,52
Basileuterus_rufifrons ,2010,SPRING,33,COFFEE,4,YES,STATIC,2,11,56
Basileuterus_rufifrons ,2010,SPRING,34,COFFEE,3,NO,STATIC,3,10.9,58
Basileuterus_rufifrons ,2010,SPRING,34,COFFEE,4,NA,STATIC,NA,12.2,54
Basileuterus_rufifrons ,2010,SPRING,34,COFFEE,3,YES,STATIC,3,10.8,57
Basileuterus_rufifrons ,2010,SPRING,35,COFFEE,4,YES,STATIC,2,10.9,56
Basileuterus_rufifrons ,2010,SPRING,35,COFFEE,3,NO,STATIC,2,10,52
Basileuterus_rufifrons ,2010,SPRING,35,COFFEE,4,YES,STATIC,2,14.7,54
Basileuterus_rufifrons ,2010,SPRING,36,COFFEE,3,NO,STATIC,2,10.9,55
Basileuterus_rufifrons ,2010,SPRING,38,COFFEE,3,NO,STATIC,2,9.7,51
Basileuterus_rufifrons ,2010,SPRING,38,COFFEE,4,YES,STATIC,2,10.7,57
Basileuterus_rufifrons ,2010,SPRING,38,COFFEE,4,YES,STATIC,2,11.8,57
Basileuterus_rufifrons ,2010,SPRING,41,COFFEE,4,YES,STATIC,2,11.4,59
Basileuterus_rufifrons ,2010,SPRING,43,COFFEE,3,NO,STATIC,3,11,58
Basileuterus_rufifrons ,2010,SPRING,44,COFFEE,3,NO,STATIC,2,10.1,51
Basileuterus_rufifrons ,2010,SPRING,47,COFFEE,3,NO,STATIC,2,10.4,52
Basileuterus_rufifrons ,2010,SPRING,52,FOREST,4,YES,STATIC,3,11.2,57
Basileuterus_rufifrons ,2010,FALL,205,COFFEE,3,NO,STATIC,2,11.2,55
Basileuterus_rufifrons ,2010,FALL,205,COFFEE,3,NO,STATIC,2,11.2,55
Basileuterus_rufifrons ,2010,FALL,222,COFFEE,4,NO,STATIC,3,11.6,59
